PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.15348752 41.335610276,2.153431599 41.335629853,2.153415738 41.335604118,2.15347166 41.335584542,2.15348752 41.335610276))","3502444",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250641",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ3502444,,
"POLYGON ((2.144365708 41.341487784,2.144335542 41.341436487,2.144389804 41.341418245,2.144420325 41.341469815,2.144411202 41.341472809,2.144365708 41.341487784))","603",,Magatzem,Construccio Modular,,,"250622",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ603,,-0.426
"POLYGON ((2.187585384 41.372516578,2.187489755 41.37192717,2.187482423 41.37188217,2.187466021 41.371883766,2.187439225 41.371721081,2.187455988 41.371719308,2.187420232 41.37149837,2.187353273 41.371084541,2.187588866 41.371062964,2.187598875 41.371062035,2.187701835 41.371696478,2.187718056 41.371695007,2.187744673 41.3718577,2.187728248 41.371859197,2.187830559 41.372494131,2.187820982 41.372495,2.187585384 41.372516578))","334","3",Instal·lacions de serveis,Edifici principal,MARINA 92,MARINA 92,"250530",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ334,-80.9,-0.404
"POLYGON ((2.187413774 41.369940468,2.187398913 41.369866321,2.187444751 41.369861078,2.187458762 41.369935327,2.187413774 41.369940468))","350","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Oficines moll Oriental-antic magatzem,Oficines moll Oriental-antic magatzem,"250540",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ350,-76.8,-0.404
"POLYGON ((2.142991928 41.333910563,2.143052932 41.334009415,2.1420291 41.334368385,2.142022689 41.334370634,2.141878685 41.334137967,2.141885072 41.334135717,2.142909167 41.333775661,2.142991928 41.333910563))","73","1",Magatzem,Edifici principal,,,"250378",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ73,,-0.427
"POLYGON ((2.13396928 41.323764089,2.133943395 41.323723802,2.134031876 41.32369222,2.134057457 41.323732919,2.13396928 41.323764089))","416",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250555",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ416,,-0.431
"POLYGON ((2.15645922 41.348413667,2.156455806 41.348408679,2.156363809 41.348275504,2.156328841 41.348224895,2.156270172 41.348139794,2.156178178 41.348006439,2.156086068 41.347872902,2.15599431 41.347739818,2.155902907 41.347607097,2.156434702 41.347422194,2.156596485 41.347482739,2.15660741 41.347525425,2.156646566 41.34767767,2.156685728 41.347829464,2.156724771 41.347981167,2.156738548 41.348034413,2.156767981 41.348134252,2.15677921 41.348171896,2.156671769 41.348330742,2.156623232 41.34834978,2.15645922 41.348413667))","178","1",Magatzem,Edifici principal,MAGATZEM 5 CZF,MAGATZEM 5 CZF,"250437",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ178,-55.4,-0.42
"POLYGON ((2.141786802 41.323545816,2.141296196 41.323717808,2.141260862 41.323660526,2.140984546 41.323756955,2.14094372 41.323771198,2.140925167 41.32374092,2.140096774 41.322389317,2.140082081 41.322365346,2.140118524 41.322352656,2.140286594 41.322293451,2.140177536 41.322114485,2.140879618 41.322082162,2.140940614 41.322177827,2.140807972 41.322224308,2.140774603 41.322235859,2.141524488 41.32344838,2.141690815 41.323391062,2.141786802 41.323545816))","35","3",Magatzem,Edifici principal,NAU A.4.1.,NAU A.4.1.,"250355",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ35,-58.2,-0.427
"POLYGON ((2.140524741 41.327205755,2.140957627 41.327054449,2.141041755 41.327064138,2.141143509 41.327229556,2.141322137 41.327167123,2.141328994 41.327178263,2.141516564 41.327105483,2.1416627 41.327342887,2.141112515 41.327536178,2.140971755 41.327526661,2.140652479 41.327413414,2.140524741 41.327205755))","47","1",Magatzem,Edifici principal,,unset,"250364",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ47,19.3,-0.427
"POLYGON ((2.154179726 41.336774252,2.154119368 41.336743119,2.154134701 41.33672374,2.154196175 41.336755447,2.154179726 41.336774252))","20075369","1",Instal·lacions de serveis,Construccio Modular,,,"250923",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ20075369,,-0.421
"POLYGON ((2.164312361 41.34008142,2.164339112 41.340074651,2.164355565 41.340112467,2.164328814 41.340119236,2.164312361 41.34008142))","20335334","1",Instal·lacions de serveis,Construccio Modular,,,"250924",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ20335334,,-0.416
"POLYGON ((2.177544079 41.366206899,2.177224846 41.365707455,2.177228089 41.365706289,2.177237773 41.365701612,2.177246314 41.365697448,2.177258114 41.365691867,2.177269178 41.365686811,2.177278209 41.365682732,2.177288188 41.365678309,2.177298047 41.365673957,2.177311632 41.365668118,2.177326294 41.365662106,2.177342639 41.365655476,2.17735117 41.365652114,2.177365119 41.36564681,2.177373288 41.365643724,2.1773859 41.365639139,2.177398523 41.365634636,2.17740729 41.365631555,2.177416296 41.365628475,2.177427835 41.365624594,2.177439481 41.365620813,2.177452927 41.365616496,2.177464089 41.365613063,2.177472731 41.365610422,2.177482453 41.365607528,2.177492173 41.365604715,2.177502504 41.365601825,2.177513781 41.365598762,2.1775211 41.365596734,2.177535016 41.365593059,2.177555602 41.365587603,2.177559189 41.365593304,2.17764262 41.365725554,2.177683544 41.365788566,2.177873723 41.366087272,2.177856339 41.36609575,2.177843842 41.366101651,2.177837168 41.366104702,2.177826957 41.36610943,2.177817517 41.366113695,2.177808536 41.366117675,2.177799471 41.366121592,2.177791345 41.366125038,2.177780815 41.366129458,2.177767944 41.366134689,2.177756756 41.366139185,2.177745545 41.366143555,2.177736714 41.366146933,2.177728053 41.366150186,2.177715512 41.366154798,2.177702888 41.366159365,2.17769459 41.36616226,2.177680371 41.366167149,2.17767157 41.366170076,2.177654487 41.366175566,2.177639121 41.366180456,2.177624587 41.366184802,2.177613918 41.366187905,2.177603094 41.366191016,2.177593231 41.366193783,2.177581089 41.366197138,2.177567928 41.366200611,2.177558285 41.366203037,2.177547311 41.366205724,2.177544079 41.366206899))","261","1",Magatzem,Edifici principal,MAGATZEM 5,MAGATZEM 5,"250484",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ261,19.9,-0.409
"POLYGON ((2.155153839 41.338099591,2.155112006 41.338007226,2.155170317 41.337998916,2.155169071 41.337993593,2.155169141 41.337988189,2.155170762 41.337982976,2.155173694 41.337978044,2.155177814 41.33797366,2.155183121 41.337969916,2.155189133 41.337967168,2.155195849 41.337965325,2.155203031 41.337964477,2.155210079 41.337964709,2.155217113 41.337966112,2.155223537 41.337968411,2.155229231 41.337971695,2.155233959 41.337975783,2.155237485 41.337980403,2.155239808 41.337985554,2.155240575 41.337990965,2.155240029 41.337996275,2.155238049 41.338001485,2.15523476 41.338006325,2.155230285 41.338010436,2.155224742 41.338013908,2.155218375 41.338016473,2.155265363 41.338070503,2.155153839 41.338099591))","433",,Instal·lacions de serveis,No classificat,,,"250570",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ433,,-0.42
"POLYGON ((2.155225932 41.338680749,2.155174257 41.338693431,2.15511634 41.338560054,2.155168016 41.338547372,2.155225932 41.338680749))","8","1",Instal·lacions de serveis,Edifici principal,,,"250334",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ8,,-0.42
"POLYGON ((2.167817316 41.357498817,2.167755417 41.35740271,2.167806829 41.357383535,2.167868842 41.357480094,2.167817316 41.357498817))","214","1",Oficines,Edifici principal,,,"250463",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ214,,-0.414
"POLYGON ((2.14591887 41.328332457,2.145858714 41.32823554,2.146064958 41.328162846,2.146125114 41.328259854,2.14591887 41.328332457))","418","1",Oficines,No classificat,,,"250556",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ418,,-0.425
"POLYGON ((2.189698155 41.374141383,2.189682021 41.374128082,2.189717673 41.37410358,2.189720308 41.374102229,2.189722809 41.374101148,2.189724887 41.374100406,2.189727515 41.374099632,2.189729962 41.374099064,2.189733077 41.374098545,2.189736047 41.37409826,2.189739456 41.374098149,2.189741536 41.374098199,2.189743115 41.374098174,2.189743069 41.374099976,2.189742853 41.374101938,2.189742409 41.374104024,2.189741774 41.374106038,2.189741108 41.374107618,2.189739836 41.374109978,2.189738459 41.374112004,2.189736699 41.374114109,2.189735173 41.374115638,2.18973283 41.374117549,2.189698155 41.374141383))","596",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250618",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ596,,-0.403
"POLYGON ((2.156944512 41.340042579,2.156734169 41.34009468,2.15670639 41.340030883,2.156637298 41.339872258,2.156613222 41.339816964,2.156823565 41.339764864,2.15684764 41.339820148,2.156916733 41.339978782,2.156944512 41.340042579))","437",,Instal·lacions de serveis,No classificat,,,"250574",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ437,,-0.419
"POLYGON ((2.180145655 41.360500016,2.179703927 41.359816159,2.180090705 41.35967463,2.180532593 41.36036027,2.180498843 41.360372622,2.180513045 41.360394657,2.180429775 41.360425122,2.180415573 41.360403088,2.180146605 41.360501491,2.180145655 41.360500016))","380","1",Estacio Maritima,Edifici principal,Terminal Maritima B,Terminal Maritima B,"250550",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ380,-58.2,-0.408
"POLYGON ((2.160833247 41.352983899,2.160685359 41.352770783,2.160888773 41.352690566,2.161036662 41.352903682,2.160833247 41.352983899))","443","1",Magatzem,No classificat,,,"250578",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ443,,-0.417
"POLYGON ((2.143196008 41.337701873,2.143282465 41.337670801,2.143334617 41.337753221,2.14324816 41.337784293,2.143196008 41.337701873))","84","1",Instal·lacions de serveis,Edifici principal,ET-3411,ET-3411,"250382",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ84,,-0.426
"POLYGON ((2.172136963 41.362036939,2.171981504 41.361794094,2.172965476 41.361434647,2.173014955 41.361511656,2.17305142 41.361568396,2.173121538 41.36167735,2.172137684 41.36203671,2.172136963 41.362036939))","245","1",Magatzem,Edifici principal,,,"250479",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ245,,-0.412
"POLYGON ((2.14210023 41.335860554,2.141226903 41.336165619,2.141164229 41.33618758,2.141064414 41.33602551,2.140858941 41.335691237,2.140978522 41.335649433,2.140953875 41.335606103,2.141185233 41.335525228,2.141318742 41.335478483,2.141703296 41.335344164,2.14170665 41.335349945,2.141720721 41.335345024,2.141742517 41.335382586,2.141794935 41.335364303,2.14189814 41.335532253,2.141999477 41.335696946,2.14210023 41.335860554))","91","3",Edifici oficial APB,Edifici principal,ASTA,ASTA,"250385",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ91,19.3,-0.427
"POLYGON ((2.187829216 41.375257584,2.187472966 41.37459108,2.187486302 41.374587048,2.187531435 41.374573405,2.187893266 41.375249821,2.187884667 41.375250859,2.187843708 41.375255794,2.187829216 41.375257584))","321","1",Magatzem,Edifici principal,Casetes M.Pescadors,Casetes M.Pescadors,"250520",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ321,-64.8,-0.404
"POLYGON ((2.154959945 41.331988836,2.15505441 41.331956651,2.155093727 41.332022307,2.154999718 41.332055243,2.154959945 41.331988836))","496",,Instal·lacions de serveis,No classificat,,,"250601",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ496,,
"POLYGON ((2.164580148 41.354163991,2.16451748 41.354066849,2.164547707 41.354056088,2.164610375 41.35415323,2.164580148 41.354163991))","191","1",Instal·lacions de serveis,Edifici principal,ET-3TCB,ET-3TCB,"250443",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ191,,-0.416
"POLYGON ((2.154518937 41.336169558,2.154584862 41.336154549,2.154592041 41.336172437,2.154525996 41.336187445,2.154518937 41.336169558))","485",,Instal·lacions de serveis,No classificat,,,"250596",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ485,,
"POLYGON ((2.187230752 41.369213861,2.187230628 41.369213212,2.187228487 41.369201748,2.187218669 41.369202796,2.187209294 41.369152846,2.187219063 41.369151861,2.187217042 41.369140371,2.187220522 41.369136459,2.187148349 41.368749967,2.187143533 41.368746816,2.187141684 41.368736922,2.187131866 41.368737961,2.187122527 41.368687966,2.187132357 41.368686918,2.187130069 41.368674751,2.187331466 41.368653338,2.187333877 41.368666218,2.187348208 41.368664716,2.187357272 41.368714682,2.187343084 41.368716185,2.187344822 41.368725484,2.187340754 41.368729581,2.187353943 41.368801617,2.1873598 41.368804703,2.187368174 41.368849602,2.187363626 41.368853722,2.18739103 41.369001045,2.187395938 41.369003502,2.187403986 41.369046669,2.187399463 41.369050763,2.187411647 41.369116208,2.187417506 41.369119132,2.187419759 41.3691312,2.187432702 41.369129832,2.187441886 41.369179798,2.187429098 41.369181167,2.187431252 41.369192613,2.187230752 41.369213861))","352","2",Magatzem,Edifici principal,,,"250542",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ352,,-0.404
"POLYGON ((2.168067971 41.357887413,2.168066448 41.35788497,2.168007592 41.357793929,2.168006069 41.357791486,2.168058559 41.357772138,2.168120227 41.357867704,2.168067971 41.357887413))","212","1",Instal·lacions de serveis,Edifici principal,,,"250461",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ212,,-0.414
"POLYGON ((2.154644979 41.334026764,2.15469444 41.334009473,2.154712937 41.334039333,2.154663475 41.334056715,2.154644979 41.334026764))","487",,Instal·lacions de serveis,No classificat,,,"250598",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ487,,
"POLYGON ((2.159569837 41.342281957,2.159498025 41.342298872,2.159483282 41.342262166,2.159555065 41.342245585,2.159569837 41.342281957))","2","1",Magatzem,Edificació secundària o auxiliar,,,"250329",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ2,,-0.418
"POLYGON ((2.165360951 41.357869989,2.165328057 41.357824533,2.165554956 41.357731597,2.165587731 41.357777053,2.165360951 41.357869989))","445","1",Magatzem,No classificat,,,"250580",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ445,,-0.415
"POLYGON ((2.165153828 41.358473886,2.165152976 41.358484419,2.165119519 41.358483005,2.165120371 41.358472473,2.165153828 41.358473886))","599",,Oficines,Construccio Modular,,,"250619",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ599,,-0.415
"POLYGON ((2.188016388 41.377735447,2.1880233 41.377734478,2.18803064 41.377732773,2.188036991 41.37773081,2.188042782 41.377728653,2.188050671 41.377725078,2.188059673 41.37772153,2.188079658 41.377750251,2.188041525 41.377765304,2.188036814 41.377758534,2.188033029 41.37775231,2.188029888 41.377748054,2.188026115 41.377743731,2.188021352 41.377739193,2.188016388 41.377735447))","504",,Instal·lacions de serveis,Carpa,Mòdul moll Barceloneta -lavabos,Mòdul moll Barceloneta -lavabos,"250602",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ504,67.5,-0.404
"POLYGON ((2.147933685 41.346587487,2.147932712 41.346587831,2.147920079 41.34656757,2.147879564 41.346502866,2.147826731 41.346521301,2.147799473 41.346530827,2.147339782 41.345786371,2.146647256 41.344675742,2.147166541 41.344494293,2.14786622 41.345618763,2.148367306 41.346434232,2.148222847 41.346485228,2.148111168 41.346524756,2.147996008 41.346565519,2.147933685 41.346587487))","118","1",Magatzem,Edifici principal,,unset,"250398",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ118,-58,-0.424
"POLYGON ((2.156377671 41.347173077,2.156295663 41.347201571,2.156171028 41.347245066,2.155753414 41.34739081,2.155385926 41.346857569,2.155202185 41.346590858,2.155245773 41.346575505,2.155278432 41.346564125,2.15587603 41.346355387,2.156102214 41.346417755,2.156196387 41.346530229,2.156223933 41.346563129,2.156304835 41.346703699,2.156385152 41.346843275,2.156449908 41.346984627,2.156459096 41.347004421,2.156444974 41.347033503,2.156390201 41.347146867,2.156377671 41.347173077))","171","1",Magatzem,Edifici principal,MAGATZEM 6 CZF,MAGATZEM 6 CZF,"250431",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ171,-55.4,-0.42
"POLYGON ((2.15352947 41.333659079,2.153124407 41.332998366,2.15334853 41.332920657,2.153451748 41.333089677,2.153753361 41.333581006,2.15352947 41.333659079))","429",,Magatzem,No classificat,,,"250566",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ429,,-0.421
"POLYGON ((2.178074088 41.373712695,2.177883235 41.373473335,2.178133854 41.373359944,2.178227444 41.373477305,2.178719973 41.373254459,2.178817261 41.373376448,2.178272885 41.373622759,2.178274262 41.373624489,2.178224276 41.37365792,2.178218071 41.373650219,2.178168084 41.37368365,2.178163094 41.37367539,2.178113108 41.373708821,2.178105042 41.37369881,2.178074088 41.373712695))","292","2",Estacio Maritima,Edifici principal,Terminal Maritima Drassanes F1,Terminal Maritima Drassanes F1,"250493",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ292,24.3,-0.409
"POLYGON ((2.18533743 41.373612014,2.185294846 41.373615955,2.185287015 41.373567935,2.185329872 41.373564076,2.18533743 41.373612014))","310","1",Magatzem,Edifici principal,,,"250510",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ310,,-0.405
"POLYGON ((2.144341385 41.322298945,2.144316161 41.322258728,2.144277837 41.322271874,2.14415915 41.322080976,2.144103787 41.321991795,2.144114448 41.321991577,2.144196936 41.321988316,2.144435077 41.321978736,2.14445833 41.322210855,2.144444405 41.322215795,2.144419915 41.322224621,2.144444074 41.322262137,2.144341385 41.322298945))","463","1",Oci,Edifici principal,BAR REST. ZAL,BAR REST. ZAL,"250589",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ463,-59,-0.426
"POLYGON ((2.161773431 41.334940701,2.161834684 41.334925419,2.161847458 41.33495449,2.161786192 41.33496978,2.161773431 41.334940701))","39018228","1",Instal·lacions de serveis,Construccio Modular,,,"251269",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ39018228,,-0.417
"POLYGON ((2.139445942 41.327268157,2.139429316 41.327241208,2.139479136 41.327223736,2.139495762 41.327250685,2.139445942 41.327268157))","39041545","1",Instal·lacions de serveis,Construccio Modular,,,"251271",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ39041545,,-0.428
"POLYGON ((2.152893217 41.334724207,2.152896903 41.334730251,2.152916867 41.334762978,2.152895163 41.334770511,2.152875186 41.334737774,2.152871308 41.334731801,2.152893217 41.334724207))","3498619",,Seguretat,Construccio Modular,,,"250639",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ3498619,,
"POLYGON ((2.187397313 41.370056513,2.187379635 41.3699569,2.187570262 41.369936492,2.187576082 41.369967528,2.18758827 41.36996629,2.187595869 41.370009129,2.1875841 41.370010307,2.187588933 41.370036121,2.18753376 41.370041992,2.187534209 41.370044364,2.187536108 41.370055097,2.187441407 41.370064607,2.187439387 41.370053964,2.187439028 41.37005207,2.187397313 41.370056513))","349","2",Oficines,Edifici principal,Oficines moll Oriental,Oficines moll Oriental,"250539",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ349,5.11,-0.404
"POLYGON ((2.146077667 41.322369254,2.146125802 41.322447553,2.146097759 41.322457578,2.146049624 41.322379278,2.146077667 41.322369254))","3451590",,Instal·lacions de serveis,Construccio Modular,,,"250633",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ3451590,,-0.425
"POLYGON ((2.177845224 41.375103961,2.177807663 41.375057394,2.177679812 41.375115751,2.177717011 41.375162586,2.177561856 41.375233538,2.177559691 41.375234513,2.177558849 41.375234868,2.177558009 41.375235132,2.17755705 41.375235305,2.177556091 41.375235478,2.177555133 41.375235562,2.177554177 41.375235555,2.177553221 41.375235458,2.177552267 41.375235271,2.177551432 41.375235085,2.177550479 41.375234808,2.177549647 41.375234442,2.177548934 41.375234076,2.177548222 41.375233621,2.177547511 41.375233075,2.17754692 41.375232531,2.177546567 41.375232078,2.177531377 41.375213324,2.177531144 41.375212871,2.177531029 41.37521251,2.17753092 41.375211609,2.177531046 41.375211159,2.177531171 41.37521071,2.177531534 41.375210352,2.177531897 41.375209994,2.177532379 41.375209728,2.17753262 41.375209549,2.177534665 41.375208663,2.177519122 41.375189366,2.177517077 41.375190342,2.177516597 41.375190519,2.177515997 41.375190695,2.177515399 41.375190691,2.177514801 41.375190686,2.177514324 41.375190593,2.177513727 41.375190498,2.177513252 41.375190225,2.177512777 41.375189951,2.177512422 41.375189678,2.177512186 41.375189407,2.177496996 41.375170652,2.177496176 41.375169295,2.177495715 41.375167941,2.177495613 41.375166499,2.177495742 41.375165779,2.177496237 41.375164432,2.177496605 41.375163714,2.177497091 41.375163087,2.177497576 41.37516255,2.177498905 41.375161478,2.17750023 41.375160767,2.177512618 41.375155091,2.177398875 41.375014121,2.177302679 41.374894805,2.177292455 41.374899505,2.177287403 41.374901811,2.177286683 41.374902076,2.177285962 41.374902342,2.177284525 41.374902511,2.177283688 41.374902505,2.177282971 41.37490241,2.177282256 41.374902225,2.177281541 41.37490204,2.177280353 41.374901401,2.17727976 41.374901036,2.177279288 41.374900492,2.177279171 41.374900311,2.177258447 41.374874672,2.177258098 41.374873949,2.177257872 41.374872866,2.177258006 41.374871696,2.177258255 41.374870977,2.177258863 41.374870171,2.177259347 41.374869724,2.177259831 41.374869277,2.177260673 41.374868833,2.177265846 41.374866438,2.177276068 41.374861827,2.177198946 41.374766156,2.177188723 41.374770857,2.177183551 41.374773162,2.177182229 41.374773693,2.177181511 41.374773778,2.177180792 41.374773863,2.177179239 41.374773762,2.177178524 41.374773577,2.177177809 41.374773391,2.177177214 41.374773117,2.177176621 41.374772752,2.177175555 41.374771934,2.177154951 41.374746296,2.177154598 41.374745843,2.177154133 41.374744758,2.17715414 41.374744218,2.177154148 41.374743588,2.177154274 41.374743048,2.177154766 41.374741971,2.177155616 41.374740986,2.177156098 41.374740629,2.177156941 41.374740185,2.177162113 41.37473779,2.177172337 41.374733089,2.17696193 41.374472168,2.176947135 41.374478998,2.176945334 41.374479616,2.176943536 41.374479963,2.176942578 41.374480046,2.176941621 41.374480039,2.176940666 41.374479942,2.176938877 41.374479569,2.176937924 41.374479292,2.176937091 41.374478926,2.176936378 41.374478561,2.176935547 41.374478104,2.176934956 41.37447756,2.176934012 41.374476562,2.176918822 41.374457808,2.176918589 41.374457356,2.176918354 41.374456994,2.17691836 41.374456544,2.176918365 41.374456093,2.176918491 41.374455644,2.176918616 41.374455194,2.176918979 41.374454837,2.176919342 41.374454479,2.176920066 41.374454034,2.17692211 41.374453148,2.176906568 41.37443385,2.176904523 41.374434827,2.176904042 41.374435003,2.176903442 41.374435179,2.176902844 41.374435175,2.176902246 41.374435171,2.17690165 41.374435076,2.176901172 41.374434983,2.176900578 41.374434708,2.176900223 41.374434436,2.176899632 41.374433891,2.176884442 41.374415137,2.176883622 41.37441378,2.176883161 41.374412425,2.176883059 41.374410983,2.176883316 41.374409544,2.176884051 41.374408198,2.176885022 41.374407034,2.176886351 41.374405963,2.176887675 41.374405251,2.176892246 41.374403122,2.177046799 41.374332437,2.177083772 41.374378189,2.177212461 41.374319659,2.177175372 41.374273635,2.177335458 41.374200377,2.17800507 41.37503079,2.177845224 41.375103961))","294","2",Oficines,Edifici principal,DUANA,DUANA,"250495",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ294,-51.1,-0.409
"POLYGON ((2.174283122 41.368867474,2.174227021 41.368872089,2.174211615 41.3687665,2.174268075 41.36876186,2.174283122 41.368867474))","279","1",Instal·lacions de serveis,Edifici principal,,,"250486",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ279,,-0.411
"POLYGON ((2.15119951 41.322501231,2.151200468 41.322573857,2.15114305 41.322574191,2.151142281 41.322501701,2.15119951 41.322501231))","39035766","1",Oficines,Construccio Modular,,,"251270",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ39035766,,-0.422
"POLYGON ((2.15798889 41.341776353,2.158104297 41.34174876,2.158164906 41.341892712,2.158049499 41.341920314,2.15798889 41.341776353))","5","2",Oficines,Edifici principal,Ecoimsa,Ecoimsa,"250331",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5,-67.1,-0.419
"POLYGON ((2.143505708 41.322013201,2.143502683 41.321964952,2.143743053 41.321953011,2.143746079 41.32200126,2.143505708 41.322013201))","29","1",Oci,Edifici principal,,,"250349",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ29,,-0.426
"POLYGON ((2.186601203 41.376046265,2.186653621 41.376014208,2.186830516 41.375906196,2.186844018 41.375959904,2.186887325 41.375953724,2.186885947 41.375948211,2.186886558 41.375948116,2.186914588 41.375944261,2.1869215 41.375943319,2.18692671 41.375965775,2.186919932 41.375966547,2.186891506 41.375970445,2.186890401 41.375966041,2.186847106 41.375972212,2.186856894 41.376011131,2.186797777 41.376019279,2.186601203 41.376046265))","446","8",Oficines,Edifici principal,MARINA PORT VELL,MARINA PORT VELL,"250581",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ446,7.86,-0.405
"POLYGON ((2.153896754 41.336290105,2.153837806 41.336310749,2.153667142 41.336033683,2.153726089 41.336013038,2.153812124 41.336152657,2.15383846 41.336195547,2.153896754 41.336290105))","430",,Oficines,No classificat,,,"250567",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ430,,-0.421
"POLYGON ((2.155954674 41.339899595,2.15578136 41.339511538,2.156070823 41.339438086,2.156244139 41.339826142,2.156064753 41.339871577,2.156086731 41.339918938,2.155993696 41.339941315,2.155973502 41.339894688,2.155970983 41.33989539,2.155954674 41.339899595))","435",,Instal·lacions de serveis,No classificat,,,"250572",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ435,,-0.42
"POLYGON ((2.142053161 41.336722257,2.142374729 41.336609598,2.14248134 41.336782347,2.141825787 41.337012112,2.141772774 41.336926235,2.141745155 41.336881532,2.141734156 41.336863615,2.141719178 41.336839273,2.14179435 41.336812936,2.142053161 41.336722257))","94","1",Magatzem,Edifici principal,Asta Magatzem,Asta Magatzem,"250388",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ94,19.3,-0.427
"POLYGON ((2.187272435 41.375264411,2.187230075 41.37526948,2.187225405 41.375269988,2.187184009 41.375137015,2.187708099 41.375073156,2.187711721 41.375080027,2.187738718 41.37513039,2.187249359 41.37519008,2.187272435 41.375264411))","318","1",Magatzem,Edifici principal,casetes magatzem pescadors,casetes magatzem pescadors,"250517",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ318,6.56,-0.404
"POLYGON ((2.178070617 41.365883485,2.177991337 41.365760498,2.177994556 41.365759314,2.177996128 41.36576173,2.17801441 41.365755042,2.177990944 41.365718574,2.177972591 41.365725153,2.17797408 41.365727533,2.177970837 41.36572869,2.177904535 41.36562526,2.177959793 41.365605775,2.177965117 41.365614028,2.1781258 41.365863279,2.178070617 41.365883485))","256","2",Instal·lacions de serveis,Edifici principal,,,"250481",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ256,,-0.409
"POLYGON ((2.17764262 41.365725554,2.177559189 41.365593304,2.17756242 41.365592138,2.177563968 41.365594572,2.177565481 41.365594024,2.177606164 41.365579281,2.177604604 41.365576838,2.177607835 41.365575672,2.177609395 41.365578106,2.17766997 41.365672893,2.177650404 41.365679977,2.177672565 41.365714697,2.17764262 41.365725554))","258","2",Oficines,Edifici principal,,,"250483",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ258,,-0.409
