PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.157428091 41.350977218,2.157402185 41.351019148,2.157300232 41.351184123,2.157132285 41.351126228,2.15726002 41.350917826,2.157355391 41.350951015,2.157369302 41.350955863,2.157420159 41.350872906,2.157365929 41.350853963,2.157494325 41.350645242,2.157661584 41.350704573,2.157560908 41.350867946,2.157548626 41.35088788,2.157597048 41.350904826,2.157607865 41.350887277,2.157775585 41.350946125,2.157756894 41.350977299,2.157648187 41.351155367,2.157507472 41.351105661,2.157480608 41.351095719,2.157533693 41.351014273,2.157428091 41.350977218))","137","4",Oficines,Edifici principal,TIR,TIR,"250407",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ137,58.6,-0.419
"POLYGON ((2.165051549 41.357184973,2.164921504 41.357004167,2.165014561 41.356966793,2.165052631 41.357019728,2.165029509 41.357029171,2.165120903 41.357156651,2.165051549 41.357184973))","444","1",Instal·lacions de serveis,No classificat,,,"250579",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ444,,-0.415
"POLYGON ((2.140042927 41.333353891,2.14002514 41.333325114,2.140152644 41.333280398,2.140170429 41.333309265,2.140042927 41.333353891))","67","1",Magatzem,Edifici principal,,,"250372",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ67,,-0.428
"POLYGON ((2.154013746 41.336226199,2.153962026 41.336140788,2.154099836 41.336093519,2.154151437 41.33617893,2.154094056 41.336198595,2.154106695 41.336219316,2.154039114 41.336242239,2.15402599 41.336221966,2.154013746 41.336226199))","431",,Instal·lacions de serveis,No classificat,,,"250568",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ431,,-0.421
"POLYGON ((2.158722152 41.347564581,2.158700423 41.347553253,2.158698606 41.347555132,2.158552551 41.347470474,2.158669371 41.347356121,2.158815426 41.347440778,2.158729237 41.34752491,2.158751077 41.347536869,2.158722152 41.347564581))","176","1",Magatzem,Edifici principal,,,"250436",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ176,,-0.419
"POLYGON ((2.178127096 41.365864792,2.178186363 41.365957155,2.178192322 41.365966313,2.178137128 41.365986448,2.178131158 41.36597729,2.178071795 41.365884908,2.178127096 41.365864792))","255","2",Oficines,Edifici principal,,,"250480",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ255,,-0.409
"POLYGON ((2.175010234 41.360111589,2.174964732 41.360193962,2.173795885 41.360624305,2.173623194 41.360355947,2.173565917 41.360266928,2.17391163 41.360140637,2.174207773 41.360032436,2.174526027 41.359916169,2.174816211 41.359810148,2.175010234 41.360111589))","235","1",Magatzem,Edifici principal,,,"250470",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ235,,-0.411
"POLYGON ((2.175415952 41.359962294,2.175441171 41.359999865,2.175433786 41.360009036,2.175267726 41.360071449,2.175252699 41.360069414,2.175228563 41.360033238,2.175235756 41.360023156,2.175401769 41.359960688,2.175415952 41.359962294))","240","2",Oficines,Edifici principal,Ergransa oficinas,Ergransa oficinas,"250475",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ240,19.5,-0.41
"POLYGON ((2.146890128 41.342973558,2.146917649 41.342963872,2.146978205 41.343061575,2.146950684 41.343071262,2.146890128 41.342973558))","3495643",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250638",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ3495643,,-0.424
"POLYGON ((2.174654712 41.359176903,2.174604313 41.359195494,2.174602729 41.35919305,2.174568375 41.359140506,2.174561937 41.359142874,2.174539653 41.359108792,2.174596466 41.359087833,2.17461664 41.359118666,2.174632711 41.359112737,2.174634834 41.359115986,2.174631627 41.35911717,2.174665453 41.359168909,2.174668672 41.359167725,2.174670795 41.359170965,2.174654712 41.359176903))","237","2",Instal·lacions de serveis,Edifici principal,ET-3343,ET-3343,"250472",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ237,,-0.411
"POLYGON ((2.165121035 41.35843924,2.165121274 41.358429874,2.165153547 41.358430378,2.165153307 41.358439744,2.165121035 41.35843924))","600",,Oficines,Construccio Modular,,,"250620",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ600,,-0.415
"POLYGON ((2.167439312 41.356915548,2.167377763 41.356820163,2.167431818 41.356799926,2.167494174 41.356897659,2.167439312 41.356915548))","198","1",Instal·lacions de serveis,Edifici principal,,,"250450",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ198,,-0.414
"POLYGON ((2.178763556 41.376193851,2.178762448 41.376194437,2.178632379 41.376029626,2.178633605 41.376029077,2.178648999 41.376022161,2.178642879 41.376014371,2.178671381 41.376001603,2.178677501 41.376009393,2.178692895 41.376002477,2.178699015 41.376010267,2.178792578 41.375968419,2.178780807 41.375953562,2.178810509 41.375940443,2.17881663 41.375948143,2.178842484 41.375936798,2.178836363 41.375929008,2.178940861 41.375882914,2.178946982 41.375890704,2.178972717 41.375879267,2.178966595 41.375871567,2.178995456 41.375858802,2.179006402 41.375872752,2.179103933 41.37582913,2.179097812 41.37582134,2.179113206 41.375814424,2.179107204 41.375806725,2.179137872 41.375792891,2.179143992 41.375800682,2.179159505 41.375793766,2.179165506 41.375801555,2.179287761 41.375956474,2.178763556 41.376193851))","295","3",Edifici oficial APB,Edifici principal,Portal de la Pau,Portal de la Pau,"250496",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ295,24.1,-0.408
"POLYGON ((2.15754993 41.3400726,2.157535546 41.340038716,2.157580386 41.340027875,2.15759477 41.340061758,2.15754993 41.3400726))","468",,Instal·lacions de serveis,No classificat,,,"250593",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ468,,
"POLYGON ((2.147632452 41.329519563,2.147557356 41.329397737,2.147513179 41.329326052,2.146413528 41.327541851,2.145241555 41.325641877,2.145230762 41.325645743,2.14517793 41.325584792,2.146969395 41.324954795,2.147010703 41.325021757,2.147066449 41.325002218,2.147192142 41.32520491,2.147350989 41.325149384,2.148353217 41.326778168,2.148136328 41.326854804,2.148179493 41.326921618,2.148395075 41.326846179,2.14939743 41.328474595,2.149290687 41.328514737,2.149330265 41.328579118,2.149347116 41.328606527,2.149351727 41.328614037,2.149421496 41.328727535,2.149314233 41.328765385,2.149392574 41.32889788,2.147632452 41.329519563))","3278136",,Magatzem,Edifici principal,,,"250628",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ3278136,,-62
"POLYGON ((2.142702678 41.337066032,2.142601359 41.336902429,2.142711316 41.336863749,2.142724411 41.336884988,2.142812239 41.337027484,2.142702678 41.337066032))","95","1",Oficines,Edificació secundària o auxiliar,Asta local seccions sindicals,Asta local seccions sindicals,"250389",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ95,-58.2,-0.426
"POLYGON ((2.149022316 41.347464407,2.148992049 41.347377269,2.149051274 41.347365591,2.149052784 41.347365278,2.149084466 41.34745212,2.149081241 41.34745279,2.149022316 41.347464407))","130","1",Seguretat,Edificació secundària o auxiliar,,,"250404",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ130,,-0.423
